turnstilelink_link_1,turnstilelink_link_1/_text,turnstilelink_link_1/_title,company_value,turnstilelink_link_2,turnstilelink_link_2/_text,turnstilelink_link_2/_title,turnstilelink_link_2_numbers,label,location_value_1,location_value_2,moreloc_link,moreloc_link/_text,moreloc_link/_title,moreloc_link_numbers,summary_description,ialabel_value,date_value,date_value_numbers,savejob_label,email_link,email_link/_text,email_link/_title,more_label,viewall_label,viewall_link,viewall_link/_text,viewall_link/_title,matitem_link,matitem_link/_text,matitem_link/_title,salarysearch_label,salarysearch_link,salarysearch_link/_text,salarysearch_link/_title,mat_flag,mattext_link,mattext_link/_text,mattext_link/_title,related_label,related_link,related_link/_text,related_link/_title,_PAGE_NUMBER
http://www.indeed.com/cmp/Pike-Solution/jobs/Big-Data-Machine-Learning-f6dc7b1253b50124?r=1,"Big Data with Machine Learning // Phoenix, AZ","Big Data with Machine Learning // Phoenix, AZ",Sariansolutions,,,,,-,"Phoenix, AZ",,,,,,Big Data with Machine Learning*. Experienced in configuring and have implemented in machine learning. Contract & Fulltime*....,Easily apply,3 days ago,3,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Sariansolutions-l-Phoenix,-AZ-jobs.html","Sariansolutions jobs in Phoenix, AZ",,"http://www.indeed.com/l-Phoenix,-AZ-jobs.html",Phoenix jobs,,Salary Search:,http://www.indeed.com/salary?q1=Big+Data+Machine+Learning&l1=Phoenix%2C+AZ,"Big Data Machine Learning salaries in Phoenix, AZ",,Learn more about working at,http://www.indeed.com/cmp/Pike-Solution?jk=f6dc7b1253b50124&from=serp-more&campaignid=serp-more&jcid=360715b21337b7d7,Sariansolutions,,Related forums:,http://www.indeed.com/forum/cmp/Pike-Solution.html,Pike Solution,,1
http://www.indeed.com/rc/clk?jk=732f84f82e8977d8,Data Scientist,Data Scientist,"Noblis NSP, LLC","http://www.indeed.com/cmp/Noblis-Nsp,-LLC/reviews?jcid=f770f13566266acc",2 reviews,Noblis Nsp reviews,2,-,"Falls Church, VA",,,,,,"Noblis’ national security and intelligence mission area consists of preeminent scientists, engineers, researchers, and analysts that have served federal, state,...",,2 days ago,2,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/jobs?q=Noblis+Nsp,+LLC&l=Falls+Church,+VA&nc=jasx","Noblis NSP, LLC jobs in Falls Church, VA",,"http://www.indeed.com/l-Falls-Church,-VA-jobs.html",Falls Church jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Falls+Church%2C+VA,"Data Scientist salaries in Falls Church, VA",,Learn more about working at,"http://www.indeed.com/cmp/Noblis-Nsp,-LLC?jk=732f84f82e8977d8&from=serp-more&campaignid=serp-more&jcid=f770f13566266acc","Noblis Nsp, LLC",,Related forums:,http://www.indeed.com/forum/cmp/Noblis-Nsp%2C-LLC.html,"Noblis NSP, LLC",,1
http://www.indeed.com/rc/clk?jk=37bac5910f02e0d5,Data Scientist,Data Scientist,The Nielsen Company,http://www.indeed.com/cmp/The-Nielsen-Company/reviews?jcid=61bb2b2cdd4507ae,566 reviews,The Nielsen Company reviews,566,-,"Chicago, IL 60647",(Logan Square area),http://www.indeed.com/jobs?q=Data+Scientist&rbt=Data+Scientist&rbc=The+Nielsen+Company&jtid=1872a3288ede048a&jcid=61bb2b2cdd4507ae&grp=tcl,+3 locations,,,The senior technical specialist will use his/her market research and statistical background to develop cutting edge analytics to help achieve Nielsen Sales...,,6 hours ago,6,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-The-Nielsen-Company-l-Chicago,-IL-jobs.html","The Nielsen Company jobs in Chicago, IL",,"http://www.indeed.com/l-Chicago,-IL-jobs.html",Chicago jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Chicago%2C+IL,"Data Scientist salaries in Chicago, IL",,Learn more about working at,http://www.indeed.com/cmp/The-Nielsen-Company?jk=37bac5910f02e0d5&from=serp-more&campaignid=serp-more&jcid=61bb2b2cdd4507ae,The Nielsen Company,,Related forums:,http://www.indeed.com/forum/cmp/The-Nielsen-Company.html,The Nielsen Company,,1
http://www.indeed.com/rc/clk?jk=46f81ab68581dfe9,Data Scientist,Data Scientist,Asymmetrik,,,,,-,"Annapolis Junction, MD 20701",,,,,,Asymmetrik is a fierce and nimble technology and analytics firm that uses agile methodology to make a positive impact for our clients....,,8 hours ago,8,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Asymmetrik-l-Annapolis-Junction,-MD-jobs.html","Asymmetrik jobs in Annapolis Junction, MD",,"http://www.indeed.com/l-Annapolis-Junction,-MD-jobs.html",Annapolis Junction jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Annapolis+Junction%2C+MD,"Data Scientist salaries in Annapolis Junction, MD",,Learn more about working at,http://www.indeed.com/cmp/Asymmetrik?jk=46f81ab68581dfe9&from=serp-more&campaignid=serp-more&jcid=60f75ef50bbea06c,Asymmetrik,,Related forums:,http://www.indeed.com/forum/cmp/Asymmetrik.html,Asymmetrik,,1
http://www.indeed.com/rc/clk?jk=be0889462ed22992,Data Scientist,Data Scientist,Rolls-Royce,http://www.indeed.com/cmp/Rolls--royce/reviews?jcid=5e9ccfa42693caf1,238 reviews,Rolls-royce reviews,238,-,"Houston, TX",,,,,,"As a Data Scientist - Controls and Data Services, your key accountabilities will include:. Investigating the vast quantities of data we have access to,...",,2 days ago,2,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/jobs?q=Rolls-royce&l=Houston,+TX","Rolls-Royce jobs in Houston, TX",,"http://www.indeed.com/l-Houston,-TX-jobs.html",Houston jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Houston%2C+TX,"Data Scientist salaries in Houston, TX",,Learn more about working at,http://www.indeed.com/cmp/Rolls--royce?jk=be0889462ed22992&from=serp-more&campaignid=serp-more&jcid=5e9ccfa42693caf1,Rolls-royce,,Related forums:,http://www.indeed.com/forum/cmp/Rolls--royce.html,Rolls-Royce,,1
http://www.indeed.com/rc/clk?jk=762126a7de69654d,Data Scientist,Data Scientist,MLB Advanced Media,http://www.indeed.com/cmp/Mlb-Advanced-Media/reviews?jcid=42eb4b40b1c2ae00,14 reviews,Mlb Advanced Media reviews,14,-,"New York, NY 10011",(Chelsea area),,,,,"Command of principles of machine learning, statistical analysis, data mining algorithms, and mathematical segmentation and modeling....",,19 hours ago,19,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Mlb-Advanced-Media-l-New-York,-NY-jobs.html","MLB Advanced Media jobs in New York, NY",,"http://www.indeed.com/l-New-York,-NY-jobs.html",New York jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=New+York%2C+NY,"Data Scientist salaries in New York, NY",,Learn more about working at,http://www.indeed.com/cmp/Mlb-Advanced-Media?jk=762126a7de69654d&from=serp-more&campaignid=serp-more&jcid=42eb4b40b1c2ae00,Mlb Advanced Media,,Related forums:,http://www.indeed.com/forum/cmp/Mlb-Advanced-Media.html,MLB Advanced Media,,1
http://www.indeed.com/cmp/DataScience-Inc/jobs/Data-Scientist-a3525328b0ecf03e?r=1,Data Scientist,Data Scientist,DataScience Inc,,,,,-,"Culver City, CA",,,,,,Our team is growing fast and we are looking for data scientists with a variety of backgrounds. Hands on experience applying time series analysis techniques such...,Easily apply,3 days ago,3,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/jobs?q=Datascience+Inc&l=Culver+City,+CA&nc=jasx","DataScience Inc jobs in Culver City, CA",,"http://www.indeed.com/l-Culver-City,-CA-jobs.html",Culver City jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Culver+City%2C+CA,"Data Scientist salaries in Culver City, CA",,Learn more about working at,http://www.indeed.com/cmp/Datascience-Inc?jk=a3525328b0ecf03e&from=serp-more&campaignid=serp-more&jcid=1397a5e26a9cfddd,Datascience Inc,,Related forums:,http://www.indeed.com/forum/cmp/Datascience-Inc.html,DataScience Inc,,1
http://www.indeed.com/rc/clk?jk=9e65777afa373efc,"Applied Research Scientist, Machine Learning Platform","Applied Research Scientist, Machine Learning Platform",Facebook,http://www.indeed.com/cmp/Facebook/reviews?jcid=1639254ea84748b5,75 reviews,Facebook reviews,75,-,"New York, NY",,,,,,"Distributed clusters, multicore SMP, and GPU) Requirements MS degree in Computer Science or related quantitative field with 5+ years of relevant experience, or...",,2 days ago,2,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Facebook-l-New-York,-NY-jobs.html","Facebook jobs in New York, NY",,"http://www.indeed.com/l-New-York,-NY-jobs.html",New York jobs,,Salary Search:,http://www.indeed.com/salary?q1=Applied+Research+Scientist&l1=New+York%2C+NY,"Applied Research Scientist salaries in New York, NY",,Learn more about working at,http://www.indeed.com/cmp/Facebook?jk=9e65777afa373efc&from=serp-more&campaignid=serp-more&jcid=1639254ea84748b5,Facebook,,Related forums:,http://www.indeed.com/forum/cmp/Facebook.html,Facebook,,1
http://www.indeed.com/rc/clk?jk=ae3fb4cd4da372a9,Data Scientist - Insights Team,Data Scientist - Insights Team,Dropbox,http://www.indeed.com/cmp/Dropbox/reviews?jcid=8510f9bc3a085f8e,3 reviews,Dropbox reviews,3,-,"San Francisco, CA",,,,,,"PhD or Master’s Degree in operations research, applied statistics, data mining, machine learning, or a related quantitative discipline....",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Dropbox-l-San-Francisco,-CA-jobs.html","Dropbox jobs in San Francisco, CA",,"http://www.indeed.com/l-San-Francisco,-CA-jobs.html",San Francisco jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=San+Francisco%2C+CA,"Data Scientist salaries in San Francisco, CA",,Learn more about working at,http://www.indeed.com/cmp/Dropbox?jk=ae3fb4cd4da372a9&from=serp-more&campaignid=serp-more&jcid=8510f9bc3a085f8e,Dropbox,,Related forums:,http://www.indeed.com/forum/cmp/Dropbox.html,Dropbox,,1
http://www.indeed.com/rc/clk?jk=02031afbf2768f97,"Data Scientist, Ads","Data Scientist, Ads",Facebook,http://www.indeed.com/cmp/Facebook/reviews?jcid=1639254ea84748b5,75 reviews,Facebook reviews,75,-,"Menlo Park, CA",,,,,,"Data Infrastructure Working in hadoop and hive primarily, sometimes mysql, oracle, and vertica Authoring pipelines via SQL and python based ETL framework...",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Facebook-l-Menlo-Park,-CA-jobs.html","Facebook jobs in Menlo Park, CA",,"http://www.indeed.com/l-Menlo-Park,-CA-jobs.html",Menlo Park jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Menlo+Park%2C+CA,"Data Scientist salaries in Menlo Park, CA",,Learn more about working at,http://www.indeed.com/cmp/Facebook?jk=02031afbf2768f97&from=serp-more&campaignid=serp-more&jcid=1639254ea84748b5,Facebook,,Related forums:,http://www.indeed.com/forum/cmp/Facebook.html,Facebook,,1
http://www.indeed.com/rc/clk?jk=ae3fb4cd4da372a9,Data Scientist - Insights Team,Data Scientist - Insights Team,Dropbox,http://www.indeed.com/cmp/Dropbox/reviews?jcid=8510f9bc3a085f8e,3 reviews,Dropbox reviews,3,-,"San Francisco, CA",,,,,,"PhD or Master’s Degree in operations research, applied statistics, data mining, machine learning, or a related quantitative discipline....",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Dropbox-l-San-Francisco,-CA-jobs.html","Dropbox jobs in San Francisco, CA",,"http://www.indeed.com/l-San-Francisco,-CA-jobs.html",San Francisco jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=San+Francisco%2C+CA,"Data Scientist salaries in San Francisco, CA",,Learn more about working at,http://www.indeed.com/cmp/Dropbox?jk=ae3fb4cd4da372a9&from=serp-more&campaignid=serp-more&jcid=8510f9bc3a085f8e,Dropbox,,Related forums:,http://www.indeed.com/forum/cmp/Dropbox.html,Dropbox,,2
http://www.indeed.com/rc/clk?jk=01db95b79a5725a7,Senior Scientsit I/II- Analytical R&D,Senior Scientsit I/II- Analytical R&D,Kashiv Pharma LLC.,,,,,-,"Bridgewater, NJ",,,,,,"Train and provide technical guidance to junior scientists. Analyze analytical data, identify trends and provide recommendation....",,,,,,,,,View all,"http://www.indeed.com/q-Kashiv-Pharma-LLC-l-Bridgewater,-NJ-jobs.html","Kashiv Pharma LLC. jobs in Bridgewater, NJ",,"http://www.indeed.com/l-Bridgewater,-NJ-jobs.html",Bridgewater jobs,,Salary Search:,http://www.indeed.com/salary?q1=Senior+Scientsit&l1=Bridgewater%2C+NJ,"Senior Scientsit salaries in Bridgewater, NJ",,,,,,,,,,2
http://www.indeed.com/rc/clk?jk=5f41be37995c69d7,Data Scientist,Data Scientist,Microsoft,http://www.indeed.com/cmp/Microsoft/reviews?jcid=734cb5a01ee60f80,"1,518 reviews",Microsoft reviews,1518,-,"Redmond, WA 98052",,http://www.indeed.com/jobs?q=Data+Scientist&rbt=Data+Scientist&rbc=Microsoft&jtid=1872a3288ede048a&jcid=734cb5a01ee60f80&grp=tcl,+2 locations,,,Exploratory data analytics for continuous and categorical data. Familiarity with use of T-SQL and analytics for data transformation and the application of...,,2 days ago,2,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Microsoft-l-Redmond,-WA-jobs.html","Microsoft jobs in Redmond, WA",,"http://www.indeed.com/l-Redmond,-WA-jobs.html",Redmond jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Redmond%2C+WA,"Data Scientist salaries in Redmond, WA",,Learn more about working at,http://www.indeed.com/cmp/Microsoft?jk=5f41be37995c69d7&from=serp-more&campaignid=serp-more&jcid=734cb5a01ee60f80,Microsoft,,Related forums:,http://www.indeed.com/forum/cmp/Microsoft.html,Microsoft,,2
http://www.indeed.com/rc/clk?jk=02031afbf2768f97,"Data Scientist, Ads","Data Scientist, Ads",Facebook,http://www.indeed.com/cmp/Facebook/reviews?jcid=1639254ea84748b5,75 reviews,Facebook reviews,75,-,"Menlo Park, CA",,,,,,"Data Infrastructure Working in hadoop and hive primarily, sometimes mysql, oracle, and vertica Authoring pipelines via SQL and python based ETL framework...",,1 day ago,1,save job,mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.com,email,,more...,View all,"http://www.indeed.com/q-Facebook-l-Menlo-Park,-CA-jobs.html","Facebook jobs in Menlo Park, CA",,"http://www.indeed.com/l-Menlo-Park,-CA-jobs.html",Menlo Park jobs,,Salary Search:,http://www.indeed.com/salary?q1=Data+Scientist&l1=Menlo+Park%2C+CA,"Data Scientist salaries in Menlo Park, CA",,Learn more about working at,http://www.indeed.com/cmp/Facebook?jk=02031afbf2768f97&from=serp-more&campaignid=serp-more&jcid=1639254ea84748b5,Facebook,,Related forums:,http://www.indeed.com/forum/cmp/Facebook.html,Facebook,,2
